city,lat,lng,country,population
Hyderābād,17.3617,78.4747,India,10494000.0
Tianjin,39.1336,117.2054,China,10368000.0
Lima,-12.06,-77.0375,Peru,10320000.0
Wuhan,30.5934,114.3046,China,10251000.0
Nanyang,32.9902,112.5285,China,9577771.0
Hangzhou,30.267,120.153,China,9523000.0
Nagoya,35.1833,136.9,Japan,9197000.0
Luanda,-8.8383,13.2344,Angola,9051000.0
Foshan,23.0214,113.1216,China,9042500.0
Kuala Lumpur,3.1686,101.698,Malaysia,8911000.0
Zhoukou,33.6367,114.7014,China,8677800.0
Tongshan,34.261,117.1859,China,8669000.0
Hanoi,21.0,105.85,Vietnam,8587100.0
Chicago,41.8375,-87.6866,United States,8489066.0
Nanjing,32.0608,118.7789,China,8422000.0
Heze,35.2343,115.4796,China,8287693.0
Pune,18.5203,73.8567,India,8231000.0
Jining,35.4151,116.5871,China,8081905.0
Bogotá,4.7111,-74.0722,Colombia,8034649.0
Ahmedabad,23.0225,72.5714,India,8009000.0
Shenyang,41.8025,123.4281,China,7964000.0
Dar es Salaam,-6.8161,39.2803,Tanzania,7962000.0
Khartoum,15.6031,32.5265,Sudan,7869000.0
Johannesburg,-26.2044,28.0456,South Africa,7860781.0
Fuyang,32.89,115.814,China,7599913.0
Hong Kong,22.3,114.2,Hong Kong,7450000.0
Ganzhou,25.831,114.933,China,7396873.0
Shangqiu,34.415,115.656,China,7325300.0
Cangzhou,38.3047,116.8387,China,7300783.0
Riyadh,24.65,46.71,Saudi Arabia,7237000.0
Santiago,-33.4372,-70.6506,Chile,7171000.0
Zhumadian,33.014,114.022,China,7008427.0
Zhanjiang,21.2701,110.3575,China,6981236.0
Rangoon,16.795,96.16,Burma,6874000.0
Yancheng,33.35,120.1569,China,6709629.0
Bijie,27.284,105.292,China,6686100.0
Xingtai,37.0717,114.5048,China,6645766.0
Hengyang,26.894,112.572,China,6645243.0
Shaoyang,27.2395,111.4679,China,6563520.0
Surabaya,-7.2458,112.7378,Indonesia,6556000.0
Sūrat,21.205,72.84,India,6538000.0
Quanzhou,24.8744,118.6757,China,6480000.0
Shangrao,28.4551,117.9431,China,6435300.0
Zunyi,27.722,107.031,China,6270700.0
Madrid,40.4169,-3.7033,Spain,6211000.0
Baghdad,33.3153,44.3661,Iraq,6183000.0
Maoming,21.6627,110.9255,China,6174050.0
Miami,25.784,-80.2101,United States,6113982.0
Xinyang,32.149,114.091,China,6109106.0
Houston,29.786,-95.3885,United States,6046392.0
Singapore,1.3,103.8,Singapore,5983000.0
Prayagraj,25.4358,81.8464,India,5954391.0
Huanggang,30.4537,114.8724,China,5882719.0
Dalian,38.9,121.6,China,5871474.0
Ankara,39.93,32.85,Turkey,5864049.0
Dallas,32.7935,-96.7667,United States,5843632.0
Qingdao,36.0669,120.3827,China,5818255.0
Yulin,22.654,110.181,China,5796766.0
Liaocheng,36.4559,115.9852,China,5789863.0
Douala,4.05,9.7,Cameroon,5768400.0
Qujing,25.491,103.796,China,5765775.0
Nangandao,35.3036,113.9268,China,5708191.0
Addis Ababa,9.03,38.74,Ethiopia,5704000.0
Philadelphia,40.0077,-75.1339,United States,5696588.0
Toronto,43.7417,-79.3733,Canada,5647656.0
Zhengzhou,34.764,113.684,China,5621593.0
Nanchong,30.8372,106.1106,China,5607565.0
Jinan,36.6702,117.0207,China,5606374.0
Giza,29.987,31.2118,Egypt,5598402.0
Saint Petersburg,59.9375,30.3086,Russia,5597763.0
Jieyang,23.551,116.3727,China,5577814.0
Dezhou,37.436,116.359,China,5568235.0
Nairobi,-1.2864,36.8172,Kenya,5545000.0
Guadalajara,20.6767,-103.3475,Mexico,5525000.0
Tai’an,36.202,117.087,China,5472217.0
Dazhou,31.2093,107.4678,China,5385422.0
Belo Horizonte,-19.9281,-43.9419,Brazil,5328000.0
Suzhou,33.648,116.964,China,5324476.0
Monterrey,25.6844,-100.3181,Mexico,5324281.0
Yongzhou,26.42,111.613,China,5289824.0
Changde,29.031,111.699,China,5279102.0
Xiangyang,32.01,112.122,China,5260951.0
Atlanta,33.7628,-84.422,United States,5211164.0
Pudong,31.2347,121.5064,China,5187200.0
Washington,38.9047,-77.0163,United States,5146120.0
Zhaotong,27.338,103.717,China,5092611.0
Zhangzhou,24.513,117.647,China,5054328.0
Yueyang,29.3647,113.1309,China,5051922.0
Melbourne,-37.8142,144.9631,Australia,5031195.0
Yichun,27.816,114.417,China,5007702.0
Abidjan,5.3364,-4.0267,Côte d’Ivoire,4980000.0
Guilin,25.275,110.296,China,4931137.0
Pingdingshan,33.7666,113.1926,China,4904701.0
Alexandria,31.1975,29.8925,Egypt,4870000.0
Bozhou,33.8463,115.7786,China,4850657.0
Sydney,-33.8667,151.2,Australia,4840600.0
Barcelona,41.3833,2.1833,Spain,4800000.0
Yuncheng,35.0267,111.007,China,4774508.0
Cape Town,-33.9253,18.4239,South Africa,4770313.0
Changsha,28.228,112.939,China,4766296.0
Suqian,33.963,118.275,China,4719178.0
Jeddah,21.5428,39.1728,Saudi Arabia,4697000.0
Weinan,34.5206,109.471,China,4688744.0
Berlin,52.52,13.405,Germany,4679500.0
Chenzhou,25.77,113.016,China,4667134.0
Jiangmen,22.5789,113.0815,China,4630300.0
Mianyang,31.468,104.679,China,4613862.0
Jiujiang,29.661,115.954,China,4600276.0
Huaihua,27.5698,110.0016,China,4587594.0
Huanglongsi,34.795,114.345,China,4564900.0
Taizhou,32.4567,119.9229,China,4512762.0
Belāhi,26.4,86.25,India,4487379.0
Yibin,28.752,104.643,China,4471896.0
Ji’an,27.0912,114.9668,China,4469176.0
Yangzhou,32.3944,119.4128,China,4459760.0
Kunming,25.0464,102.7094,China,4422686.0
Changchun,43.897,125.326,China,4408154.0
Lu’an,31.736,116.52,China,4393699.0
Xinpu,34.5966,119.2214,China,4393482.0
Langfang,39.5383,116.6835,China,4358839.0
Boston,42.3188,-71.0852,United States,4355184.0
Ürümqi,43.8225,87.6125,China,4335017.0
Suzhou,31.3,120.6194,China,4330000.0
Guigang,23.112,109.599,China,4316262.0
Shantou,23.354,116.682,China,4312192.0
Jiangguanchi,34.037,113.852,China,4307488.0
Kabul,34.5253,69.1783,Afghanistan,4273156.0
Xiaoganzhan,30.918,113.957,China,4270371.0
Bamako,12.6458,-7.9922,Mali,4227569.0
Kano,12.0,8.5167,Nigeria,4224966.0
Luzhou,28.871,105.442,China,4218427.0
Hefei,31.8206,117.2273,China,4216940.0
Hengshui,37.739,115.669,China,4212933.0
Fortaleza,-3.7275,-38.5275,Brazil,4167996.0
Anqing,30.5318,117.1153,China,4165284.0
Zhangjiakou,40.769,114.886,China,4118908.0
Zhaoqing,23.05,112.4667,China,4113594.0
Shijiazhuang,38.0425,114.51,China,4098243.0
Ningbo,29.8603,121.6245,China,4087523.0
Qiqihar,47.3549,123.9182,China,4067489.0
Phoenix,33.5722,-112.0892,United States,4065338.0
Liuzhou,24.3278,109.4278,China,4041700.0
Chifeng,42.255,118.8825,China,4035967.0
Xiaoxita,30.692,111.287,China,4017607.0
Amman,31.9497,35.9328,Jordan,4007526.0
Linfen,36.088,111.519,China,3976481.0
Xianyang,34.3299,108.7088,China,3959842.0
Chuzhou,32.256,118.333,China,3937868.0
Kumasi,6.7,-1.625,Ghana,3903480.0
Zhuzhou,27.829,113.133,China,3902738.0
Taiyuan,37.8704,112.5497,China,3875053.0
Qingyuan,23.682,113.056,China,3874000.0
Meizhou,24.289,116.122,China,3873239.0
Yiyang,28.5549,112.356,China,3851564.0
Nanning,22.8167,108.3275,China,3837978.0
Harbin,45.7576,126.6409,China,3830000.0
Loudi,27.6998,111.9944,China,3826996.0
Abuja,9.0667,7.4833,Nigeria,3770000.0
Yokohama,35.4442,139.6381,Japan,3757630.0
Suihua,46.654,126.969,China,3756167.0
Binzhou,37.383,117.971,China,3748474.0
Zaozhuang,34.8109,117.3238,China,3729140.0
Detroit,42.3834,-83.1024,United States,3716929.0
Xiamen,24.4796,118.0889,China,3707090.0
Mashhad,36.3264,59.5433,Iran,3700000.0
Montréal,45.5089,-73.5617,Canada,3675219.0
Fuzhou,26.0743,119.2964,China,3671192.0
Wuhu,31.3526,118.4331,China,3644420.0
Medan,3.5894,98.6739,Indonesia,3632000.0
Yulinshi,38.2858,109.7341,China,3624750.0
Fuzhou,27.949,116.358,China,3614866.0
Wenzhou,27.9938,120.6993,China,3604446.0
Changzhou,31.811,119.974,China,3601079.0
Puyang,35.7627,115.0292,China,3598740.0
Nanchang,28.683,115.858,China,3576547.0
Baicheng,23.903,106.619,China,3571505.0
Seattle,47.6211,-122.3244,United States,3555253.0
Ibadan,7.3964,3.9167,Nigeria,3552000.0
Jiaozuo,35.2157,113.2419,China,3521078.0
Nādampālaiyam,11.0125,76.9714,India,3458045.0
Deyang,31.127,104.398,China,3456161.0
Busan,35.18,129.075,"Korea, South",3453198.0
Hechi,24.693,108.085,China,3417945.0
Tangshan,39.6294,118.1739,China,3399231.0
Lucknow,26.85,80.95,India,3382000.0
San Francisco,37.7558,-122.4449,United States,3364862.0
Boankra,6.6919,-1.4051,Ghana,3348000.0
Dubai,25.2631,55.2972,United Arab Emirates,3331420.0
Anshan,41.108,122.994,China,3325372.0
Guozhen,34.3609,107.1751,China,3321853.0
Baojishi,34.363,107.238,China,3321853.0
Qinzhou,21.981,108.654,China,3302238.0
Guiyang,26.647,106.63,China,3299724.0
Wuxi,31.5667,120.2833,China,3245179.0
Kannankulam,10.52,76.21,India,3243170.0
Caracas,10.4806,-66.9036,Venezuela,3242000.0
Kotla Qasim Khan,32.5833,73.75,Pakistan,3219375.0
Casablanca,33.5333,-7.5833,Morocco,3215935.0
Hanzhong,33.0664,107.0232,China,3211462.0
Shiyan,32.629,110.7987,China,3209004.0
Guang’an,30.4564,106.6326,China,3205476.0
Faisalabad,31.4167,73.0911,Pakistan,3203846.0
Changzhi,36.195,113.117,China,3180884.0
Tongren,27.7316,109.1895,China,3168800.0
Bengbu,32.917,117.389,China,3164467.0
Leshan,29.552,103.766,China,3160168.0
Santa Cruz de la Sierra,-17.7892,-63.1975,Bolivia,3151676.0
Neijiang,29.5802,105.058,China,3140678.0
Zhenjiang,32.188,119.424,China,3113384.0
Qinhuangdao,39.8882,119.5202,China,3107400.0
Bursa,40.1833,29.05,Turkey,3101833.0
Tashkent,41.3111,69.2797,Uzbekistan,3095498.0
Guayaquil,-2.19,-79.8875,Ecuador,3094420.0
Jaipur,26.9,75.8,India,3073350.0
Lanzhou,36.0606,103.8268,China,3067141.0
Ouagadougou,12.3686,-1.5275,Burkina Faso,3063271.0
Athens,37.9842,23.7281,Greece,3059764.0
San Diego,32.8313,-117.1222,United States,3057778.0
Guatemala City,14.6417,-90.5133,Guatemala,3014000.0
Kuwait City,29.3697,47.9783,Kuwait,2989000.0
Qincheng,34.5815,105.7248,China,2984659.0
İzmir,38.42,27.14,Turkey,2965900.0
Quezon City,14.65,121.0475,Philippines,2960048.0
Kyiv,50.45,30.5233,Ukraine,2952301.0
Kottārasshēri,10.775,76.651,India,2952254.0
Meishan,30.0771,103.8484,China,2950545.0
Incheon,37.4833,126.6333,"Korea, South",2936117.0
Ningde,26.6662,119.5477,China,2910000.0
Zhongshan,22.517,113.3925,China,2909633.0
Minneapolis,44.9635,-93.2678,United States,2906807.0
Tampa,27.9945,-82.4447,United States,2906035.0
Putian,25.4526,119.0078,China,2900000.0
Mbuji-Mayi,-6.15,23.6,Congo (Kinshasa),2892000.0
Tongliao,43.654,122.243,China,2873168.0
Chaoyang,41.571,120.453,China,2872857.0
Hohhot,40.842,111.749,China,2866615.0
Pyongyang,39.0167,125.7475,"Korea, North",2863000.0
Shaoguan,24.811,113.597,China,2855131.0
Taichung,24.1439,120.6794,Taiwan,2850285.0
Cali,3.4206,-76.5222,Colombia,2838333.0
Heyuan,23.7443,114.7002,China,2837686.0
Wuzhou,23.4767,111.279,China,2820977.0
Pretoria,-25.7461,28.1881,South Africa,2818100.0
Suining,30.533,105.593,China,2814196.0
Omdurman,15.6835,32.4629,Sudan,2805396.0
Weihai,37.5133,122.1205,China,2804771.0
Rizhao,35.417,119.527,China,2801013.0
Malang,-7.98,112.62,Indonesia,2795209.0
Stuttgart,48.7775,9.18,Germany,2787724.0
Daqing,46.589,125.104,China,2781562.0
Rome,41.8931,12.4828,Italy,2748109.0
Kaohsiung,22.615,120.2975,Taiwan,2737660.0
Brooklyn,40.6501,-73.9496,United States,2736074.0
Xiangtan,27.8313,112.9454,China,2726181.0
Bazhou,31.868,106.748,China,2712894.0
Handan,36.601,114.487,China,2708015.0
Brisbane,-27.4678,153.0281,Australia,2706966.0
Jinzhou,41.129,121.148,China,2703853.0
Denver,39.762,-104.8758,United States,2691349.0
Xinzhou,38.416,112.734,China,2689668.0
Nanping,26.6418,118.1774,China,2680645.0
Gāzipura,23.9234,90.3959,Bangladesh,2674697.0
Shanwei,22.7872,115.3756,China,2672819.0
Maracaibo,10.6333,-71.6333,Venezuela,2658355.0
Chaozhou,23.658,116.622,China,2656600.0
Baotou,40.6213,109.9532,China,2650364.0
Longyan,25.076,117.017,China,2640000.0
Weifang,36.708,119.162,China,2636154.0
Huai’an,33.551,119.113,China,2632788.0
Zibo,36.8138,118.055,China,2631647.0
Attadappa,11.8689,75.3555,India,2615266.0
Munich,48.1375,11.575,Germany,2606021.0
Gulou,26.0865,119.298,China,2606000.0
Birmingham,52.48,-1.9025,United Kingdom,2590363.0
Valencia,10.1833,-68.0,Venezuela,2585202.0
Damascus,33.502,36.2981,Syria,2584771.0
Chattogram,22.335,91.8325,Bangladesh,2581643.0
Brazzaville,-4.2667,15.2667,Congo (Brazzaville),2557100.0
Yangjiang,21.857,111.983,China,2555600.0
Sanaa,15.3483,44.2064,Yemen,2545000.0
Barmhān Kalān,19.1972,72.9722,India,2537000.0
Medellín,6.2308,-75.5906,Colombia,2529403.0
Dingxi,35.608,104.592,China,2524097.0
Shaoxing,30.0511,120.5833,China,2521964.0
Yantai,37.4646,121.4478,China,2511053.0
Huizhou,23.112,114.416,China,2509243.0
Xuanzhou,30.939,118.759,China,2500063.0
Mirzāpur,25.146,82.569,India,2496970.0
Hamburg,53.55,10.0,Germany,2496600.0
Taipei,25.0375,121.5625,Taiwan,2494813.0
Ankang,32.6854,109.029,China,2493436.0
Zigong,29.339,104.779,China,2489256.0
Sanming,26.2634,117.6389,China,2486450.0
Toluca,19.2925,-99.6569,Mexico,2476689.0
Huangshi,30.2011,115.039,China,2469079.0
Yaoundé,3.8667,11.5167,Cameroon,2440462.0
Zhuhai,22.2742,113.5719,China,2439585.0
Huludao,40.711,120.837,China,2434194.0
Baoshan,25.112,99.161,China,2431211.0
Mecca,21.4225,39.8261,Saudi Arabia,2427924.0
Vancouver,49.25,-123.1,Canada,2426160.0
Lianshan,40.7523,120.828,China,2426000.0
Beirut,33.8981,35.5058,Lebanon,2421354.0
Salvador,-12.9831,-38.4928,Brazil,2417678.0
Bucharest,44.4325,26.1039,Romania,2412530.0
Longba,33.3702,104.9603,China,2407272.0
Nāgpur,21.1497,79.0806,India,2405665.0
Queens,40.7498,-73.7976,United States,2405464.0
Tieling,42.2237,123.726,China,2388294.0
Yunfu,22.9152,112.0445,China,2383350.0
Bekasi,-6.2333,107.0,Indonesia,2381053.0
Daegu,35.8717,128.6017,"Korea, South",2376044.0
Ghāziābād,28.67,77.42,India,2375820.0
Luoyang,34.6197,112.4539,China,2372571.0
Luohe,33.5804,114.0166,China,2367490.0
Algiers,36.7325,3.0872,Algeria,2364230.0
Anshun,26.2531,105.9476,China,2353100.0
Huainan,32.6314,117.0194,China,2333896.0
Depok,-6.394,106.8225,Indonesia,2330333.0
Konya,37.8667,32.4833,Turkey,2320241.0
Haiphong,20.8651,106.6838,Vietnam,2310280.0
Yanjiang,30.129,104.627,China,2308631.0
Guangyuan,32.436,105.844,China,2305657.0
Baku,40.3667,49.8352,Azerbaijan,2300500.0
Yingkou,40.625,122.219,China,2296540.0
Mudanjiang,44.5514,129.6329,China,2290208.0
Riverside,33.9381,-117.3949,United States,2288508.0
Fukuoka,33.59,130.4017,Japan,2286000.0
Nantong,31.981,120.894,China,2261382.0
Lincang,23.884,100.089,China,2257991.0
Las Vegas,36.2333,-115.2654,United States,2256509.0
Haikou,20.0186,110.3488,China,2250000.0
Yuxi,24.347,102.527,China,2249502.0
Tangerang,-6.1703,106.6403,Indonesia,2237006.0
Supaul,26.126,86.605,India,2229076.0
Almaty,43.24,76.915,Kazakhstan,2228675.0
Vienna,48.2083,16.3725,Austria,2223236.0
Eşfahān,32.6653,51.6703,Iran,2219343.0
Xining,36.6224,101.7804,China,2208708.0
Jincheng,35.491,112.852,China,2194545.0
Baltimore,39.3051,-76.6144,United States,2189589.0
Dandong,40.1167,124.3833,China,2188436.0
Yan’an,36.65,109.494,China,2187009.0
Qinbaling,35.7091,107.6436,China,2179716.0
Gaoping,30.7824,106.1281,China,2174000.0
Awka,6.2069,7.0678,Nigeria,2171900.0
Taizhou,28.6557,121.4208,China,2162461.0
Ma’anshan,31.669,118.507,China,2159930.0
Jiamusi,46.8,130.319,China,2156505.0
Perth,-31.9558,115.8597,Australia,2141834.0
Gaziantep,37.0628,37.3792,Turkey,2130432.0
Phnom Penh,11.5696,104.921,Cambodia,2129371.0
St. Louis,38.6359,-90.2451,United States,2127843.0
Mogadishu,2.0392,45.3419,Somalia,2120000.0
Lishui,28.468,119.923,China,2116957.0
Kowloon,22.3167,114.1833,Hong Kong,2108419.0
Córdoba,-31.4167,-64.1833,Argentina,2106734.0
Zamboanga City,6.9042,122.0761,Philippines,2100000.0
Rawalpindi,33.6,73.0333,Pakistan,2098231.0
Havana,23.1367,-82.3589,Cuba,2089532.0
Chongzuo,22.377,107.365,China,2088692.0
Portland,45.5371,-122.65,United States,2084045.0
Laibin,23.7501,109.2212,China,2074611.0
San Antonio,29.4632,-98.5238,United States,2069843.0
Vadodara,22.3,73.2,India,2065771.0
Qingyang,24.7816,118.5517,China,2061600.0
Rājkot,22.3,70.7833,India,2043000.0
Shangzhou,33.8734,109.9186,China,2041231.0
Vishākhapatnam,17.7042,83.2978,India,2035922.0
Shengli,37.434,118.6746,China,2035338.0
Sanmenxia,34.7732,111.2004,China,2034872.0
Warsaw,52.23,21.0111,Poland,2028000.0
Gujranwala,32.1567,74.19,Pakistan,2027001.0
Hezhou,24.4042,111.5672,China,2007858.0
Aleppo,36.2319,37.1681,Syria,2003671.0
Tijuana,32.525,-117.0333,Mexico,2002000.0
Puning,23.298,116.166,China,1998619.0
Indore,22.7167,75.8472,India,1994397.0
Minsk,53.9006,27.5586,Belarus,1992862.0
Karaj,35.8292,50.9675,Iran,1973470.0
Kananga,-5.897,22.4488,Congo (Kinshasa),1971704.0
Huaibei,33.956,116.798,China,1970265.0
Peshawar,34.0144,71.5675,Pakistan,1970042.0
Sacramento,38.5677,-121.4685,United States,1962998.0
Sapporo,43.0619,141.3544,Japan,1959313.0
Tilburg,51.5572,5.0911,Netherlands,1944588.0
Austin,30.3005,-97.7522,United States,1915031.0
Orlando,28.4773,-81.337,United States,1913597.0
Davao,7.07,125.6,Philippines,1910167.0
Songjiang,31.0058,121.2333,China,1909713.0
Yinchuan,38.485,106.225,China,1901793.0
Abhepur,39.41,116.38,India,1895686.0
Thāne,19.1972,72.9722,India,1886941.0
Multan,30.1978,71.4697,Pakistan,1871843.0
Port Harcourt,4.8242,7.0336,Nigeria,1865000.0
Fushun,41.881,123.957,China,1861372.0
Tainan,22.9833,120.1833,Taiwan,1856642.0
Pingliang,35.5424,106.6649,China,1848607.0
Siping,43.1668,124.3506,China,1814733.0
San Juan,18.3985,-66.061,Puerto Rico,1809800.0
Pingxiang,27.659,113.887,China,1804805.0
Bhopāl,23.2599,77.4126,India,1798218.0
Mosul,36.3667,43.1167,Iraq,1792000.0
Diyarbakır,37.91,40.24,Turkey,1791373.0
Lubumbashi,-11.6647,27.4794,Congo (Kinshasa),1786397.0
Benin City,6.3333,5.6222,Nigeria,1780000.0
Curitiba,-25.4297,-49.2719,Brazil,1773718.0
San Jose,37.3012,-121.848,United States,1771563.0
Shuyangzha,34.1299,118.7734,China,1770000.0
Adana,37.0,35.3213,Turkey,1765981.0
Quito,-0.22,-78.5125,Ecuador,1763275.0
Āgra,27.18,78.02,India,1760285.0
Peyanvilai,8.9,77.9833,India,1750176.0
Lusaka,-15.4167,28.2833,Zambia,1747152.0
Indianapolis,39.7771,-86.1458,United States,1740984.0
Hyderabad City,25.3792,68.3683,Pakistan,1732693.0
Pimpri-Chinchwad,18.6186,73.8037,India,1729320.0
Maracay,10.2469,-67.5961,Venezuela,1723236.0
Masqaţ,23.614,58.5911,Oman,1720000.0
Montevideo,-34.9056,-56.1842,Uruguay,1719453.0
Pittsburgh,40.4397,-79.9763,United States,1712828.0
Cincinnati,39.1413,-84.506,United States,1704916.0
Manhattan,40.7834,-73.9662,United States,1694263.0
Kansas City,39.1238,-94.5541,United States,1686807.0
Budapest,47.4983,19.0408,Hungary,1686222.0
Patna,25.594,85.1376,India,1684222.0
Kampala,0.3136,32.5811,Uganda,1680600.0
Beihai,21.481,109.12,China,1680000.0
Sanzhou,30.82,108.4,China,1680000.0
Cleveland,41.4764,-81.6805,United States,1679247.0
Conakry,9.5092,-13.7122,Guinea,1667864.0
Ximeicun,24.9612,118.3849,China,1663542.0
Caloocan City,14.65,120.97,Philippines,1661584.0
Ecatepec,19.6097,-99.06,Mexico,1655015.0
Yushan,31.322,120.985,China,1652159.0
Fuxin,42.022,121.67,China,1647280.0
Novosibirsk,55.05,82.95,Russia,1633851.0
Bilāspur,22.09,82.15,India,1625502.0
Semarang,-6.99,110.4225,Indonesia,1621384.0
Jingdezhen,29.2917,117.1986,China,1618979.0
Ludhiāna,30.91,75.85,India,1618879.0
Liaoyang,41.279,123.176,China,1604580.0
Jiangyin,31.839,120.295,China,1595138.0
Valencia,39.47,-0.3764,Spain,1595000.0
Shuozhou,39.3317,112.4329,China,1593444.0
León de los Aldama,21.1167,-101.6833,Mexico,1579803.0
Columbus,39.9862,-82.9855,United States,1578153.0
Puebla,19.0333,-98.1833,Mexico,1576259.0
Biên Hòa,10.95,106.8167,Vietnam,1575000.0
Chengtangcun,35.0833,117.15,China,1574648.0
Yopougon,5.3748,-4.0867,Côte d’Ivoire,1571065.0
Hebi,35.748,114.297,China,1565973.0
Shīrāz,29.61,52.5425,Iran,1565572.0
Dushanbe,38.5367,68.78,Tajikistan,1564700.0
Madurai,9.9252,78.1198,India,1561129.0
Huzhou,30.8925,120.0875,China,1558826.0
Harare,-17.8292,31.0522,Zimbabwe,1558823.0
Tabrīz,38.0817,46.2992,Iran,1558693.0
Jamshedpur,22.7925,86.1842,India,1558000.0
Baicheng,45.62,122.838,China,1551378.0
San José,9.9325,-84.08,Costa Rica,1543000.0
Shaoyang,32.912,119.8526,China,1542600.0
San Salvador,13.6989,-89.1914,El Salvador,1538525.0
Palembang,-2.9861,104.7556,Indonesia,1535952.0
Kawasaki,35.5167,139.7,Japan,1531646.0
Kōbe,34.69,135.1956,Japan,1521707.0
Jiaxing,30.747,120.756,China,1518654.0
Zhangjiajie,29.117,110.479,China,1517027.0
Baiyin,36.5451,104.1389,China,1512110.0
Guiping,23.4,110.0833,China,1511011.0
Changshu,31.656,120.753,China,1510100.0
Jixi,45.295,130.969,China,1502060.0
Xushan,30.1667,121.2333,China,1502000.0
Lomé,6.1308,1.2153,Togo,1500000.0
Niamey,13.515,2.1175,Niger,1496260.0
Gwangju,35.1653,126.8486,"Korea, South",1490092.0
Recife,-8.0539,-34.8808,Brazil,1488920.0
Nāsik,19.9975,73.7898,India,1486053.0
Abu Dhabi,24.4667,54.3667,United Arab Emirates,1483000.0
Onitsha,6.1667,6.7833,Nigeria,1483000.0
Amsterdam,52.3728,4.8936,Netherlands,1477213.0
Vijayavāda,16.5193,80.6305,India,1476931.0
Zapopan,20.7167,-103.4,Mexico,1476491.0
Daejeon,36.35,127.385,"Korea, South",1475221.0
Bronx,40.8501,-73.8662,United States,1472654.0
Auckland,-36.8492,174.7653,New Zealand,1470100.0
Yekaterinburg,56.8356,60.6128,Russia,1468833.0
Wuwei,37.929,102.638,China,1464955.0
Jinhua,29.079,119.647,China,1463990.0
Kyōto,35.0117,135.7683,Japan,1463723.0
Pizhou,34.398,117.89,China,1458038.0
Yangshe,31.8767,120.556,China,1447600.0
Dakar,14.6726,-17.432,Senegal,1438725.0
Charlotte,35.2083,-80.8303,United States,1436613.0
Yucheng,30.01,103.0415,China,1434603.0
Kayseri,38.7225,35.4875,Turkey,1434357.0
Virginia Beach,36.7335,-76.0435,United States,1431821.0
Rui’an,27.7833,120.625,China,1424667.0
Muscat,23.6139,58.5922,Oman,1421409.0
Kharkiv,49.9925,36.2311,Ukraine,1421125.0
Pointe-Noire,-4.7975,11.8503,Congo (Brazzaville),1420612.0
Medina,24.47,39.61,Saudi Arabia,1411599.0
Sangereng,-6.2889,106.7181,Indonesia,1404785.0
Farīdābād,28.4211,77.3078,India,1404653.0
Sofia,42.6979,23.3217,Bulgaria,1404116.0
Ulaanbaatar,47.9214,106.9055,Mongolia,1396288.0
Adelaide,-34.9275,138.6,Australia,1387290.0
Prague,50.0875,14.4214,Czechia,1384732.0
Wenling,28.3667,121.3667,China,1366794.0
Copenhagen,55.6805,12.5615,Denmark,1366301.0
Najafgarh,28.6125,76.9847,India,1365152.0
Lianjiang,21.7333,110.2833,China,1363470.0
Helsinki,60.1708,24.9375,Finland,1360075.0
Samsun,41.2903,36.3336,Turkey,1356079.0
Milan,45.4669,9.19,Italy,1354196.0
Antalya,36.8874,30.7075,Turkey,1344000.0
Santiago,19.4572,-70.6889,Dominican Republic,1343423.0
Chizhou,30.6654,117.4916,China,1342764.0
